Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"Verify that after clicking on 'Hide' button, each character of password in the textbox, is getting displayed as solid circle",RE-91,10122,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 12:25 PM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,‘Hide' button is present in ‘password’ field on ‘Add New User’ page. ,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000qn:,,RE Sprint 1,,,,,,,,Done
"Verify that after clicking on 'Show password' button, default password is provided in the textbox of password field",RE-90,10121,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 12:11 PM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,‘show password ' button is present in ‘password’ field on ‘Add New User’ page. ,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000qf:,,RE Sprint 1,,,,,,,,Done
"Verify that after clicking on 'Show password' button, it is getting replaced by required components ",RE-89,10120,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 12:00 PM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,‘show password ' button is present in ‘password’ field on ‘Add New User’ page. ,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000q7:,,RE Sprint 1,,,,,,,,Done
Verify 'Password' field showing button named as 'Show password',RE-88,10119,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 11:38 AM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,‘Password’ field is available in the form which is on ‘Add New User’ page. ,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000pz:,,RE Sprint 1,,,,,,,,Done
Verify that 'Website' field is getting focused when admin clicks on website field textbox,RE-87,10118,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 11:28 AM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,‘Website’ field is available in the form which is on ‘Add New User’ page. ,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000pr:,,RE Sprint 1,,,,,,,,Done
Verify 'Website' field with url having valid special characters ,RE-86,10117,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 10:57 AM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,"‘Website’ field is available in the form which is on ‘Add New User’ page. 

valid special characters for url can be any special character except \!,@,(,),\{,},\\ ,etc.",,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000pj:,,RE Sprint 1,,,,,,,,Done
Verify 'Website' field by entering valid input,RE-85,10116,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 10:51 AM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,‘Website’ field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000pb:,,RE Sprint 1,,,,,,,,Done
"Verify that 'Website' field is adding protocol name before the input value entered in the website field, if admin has not entered protocol name in the website field ",RE-84,10115,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 9:23 AM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,‘Website’ field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000p3:,,RE Sprint 1,,,,,,,,Done
Verify that first name and last name of newly added user are displayed as a combined text having one space between them and under 'Name' column of the table of user records on 'Users' page,RE-83,10114,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 8:59 AM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000ov:,,RE Sprint 1,,,,,,,,Done
Verify that admin is able to paste the value in 'Last Name' text field,RE-82,10113,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 8:48 AM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,‘Last Name’ field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000on:,,RE Sprint 1,,,,,,,,Done
Verify 'Last Name' field with only digits as input,RE-81,10112,Test,Blocked,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 7:26 AM,08/Sep/21 9:59 AM,08/Sep/21 5:13 AM,,,0,‘Last Name’ field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,RE-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000of:,,RE Sprint 1,,,,,,,,In Progress
Verify that the cursor blinks or not when click in the text box of 'Last Name' field,RE-80,10111,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 7:16 AM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,‘Last Name’ field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000o7:,,RE Sprint 1,,,,,,,,Done
Verify 'Last Name' field with 51 characters,RE-79,10110,Test,Blocked,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 6:59 AM,08/Sep/21 9:58 AM,08/Sep/21 4:56 AM,,,0,‘Last Name’ field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,RE-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000nz:,,RE Sprint 1,,,,,,,,In Progress
Verify 'First Name' text field is blank or not by default,RE-78,10109,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 6:53 AM,08/Sep/21 10:00 AM,09/Sep/21 5:34 AM,08/Sep/21 10:00 AM,,0,‘First Name’ field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000nr:,,RE Sprint 1,,,,,,,,Done
Verify 'First Name' field with special characters,RE-77,10108,Test,Blocked,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 6:37 AM,08/Sep/21 9:58 AM,08/Sep/21 4:29 AM,,,0,‘First Name’ field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,RE-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000nj:,,RE Sprint 1,,,,,,,,In Progress
Verify 'First Name' field with 51 characters,RE-76,10107,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 6:24 AM,08/Sep/21 10:00 AM,09/Sep/21 5:34 AM,08/Sep/21 10:00 AM,,0,‘First Name’ field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000nb:,,RE Sprint 1,,,,,,,,Done
Verify 'First Name' field with alphanumeric value,RE-75,10106,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 6:09 AM,08/Sep/21 10:00 AM,09/Sep/21 5:34 AM,08/Sep/21 10:00 AM,,0,‘First Name’ field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000n3:,,RE Sprint 1,,,,,,,,Done
Verify 'Email' field with missing @ sign and domain,RE-74,10105,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 6:01 AM,08/Sep/21 10:00 AM,09/Sep/21 5:34 AM,08/Sep/21 10:00 AM,,0,‘Email’ field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000mv:,,RE Sprint 1,,,,,,,,Done
Verify 'Email' field with only digits in address,RE-73,10104,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 5:20 AM,08/Sep/21 10:00 AM,09/Sep/21 5:34 AM,08/Sep/21 10:00 AM,,0,‘Email’ field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000mn:,,RE Sprint 1,,,,,,,,Done
Verify 'Email' field with trailing dot(.) in address,RE-72,10103,Test,Blocked,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 4:49 AM,08/Sep/21 9:58 AM,08/Sep/21 4:18 AM,,,0,‘Email’ field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,RE-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000mf:,,RE Sprint 1,,,,,,,,In Progress
Verify 'Email' field with leading dot(.) in address,RE-71,10102,Test,Blocked,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 3:59 AM,08/Sep/21 9:58 AM,08/Sep/21 3:33 AM,,,0,‘Email’ field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,RE-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000m7:,,RE Sprint 1,,,,,,,,In Progress
Verify 'Email' field as mandatory field,RE-70,10101,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 3:47 AM,08/Sep/21 10:00 AM,09/Sep/21 5:34 AM,08/Sep/21 10:00 AM,,0,‘Email’ field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000lz:,,RE Sprint 1,,,,,,,,Done
Verify 'Username' text field as mandatory field,RE-69,10100,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 3:31 AM,08/Sep/21 10:00 AM,09/Sep/21 5:34 AM,08/Sep/21 10:00 AM,,0,‘Username’ text field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000lr:,,RE Sprint 1,,,,,,,,Done
Verify 'Username' text field with input value containing invalid special characters,RE-68,10099,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,06/Sep/21 6:29 PM,08/Sep/21 10:00 AM,09/Sep/21 5:34 AM,08/Sep/21 10:00 AM,,0,‘Username’ text field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000lj:,,RE Sprint 1,,,,,,,,Done
Verify 'Username' text field with input value containing valid special characters,RE-67,10098,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,06/Sep/21 6:22 PM,08/Sep/21 10:00 AM,09/Sep/21 5:34 AM,08/Sep/21 10:00 AM,,0,‘Username’ text field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000lb:,,RE Sprint 1,,,,,,,,Done
Verify 'Username' text field with alphanumeric value,RE-66,10097,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,06/Sep/21 6:15 PM,08/Sep/21 10:00 AM,09/Sep/21 5:34 AM,08/Sep/21 10:00 AM,,0,‘Username’ text field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000l3:,,RE Sprint 1,,,,,,,,Done
Verify 'Username' text field with 61 characters,RE-65,10096,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,06/Sep/21 6:00 PM,08/Sep/21 10:00 AM,09/Sep/21 5:34 AM,08/Sep/21 10:00 AM,,0,‘Username’ text field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000kv:,,RE Sprint 1,,,,,,,,Done
Verify 'Username' text field with null value ,RE-64,10095,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,06/Sep/21 5:38 PM,08/Sep/21 10:00 AM,09/Sep/21 5:34 AM,08/Sep/21 10:00 AM,,0,‘Username’ text field is available in the form which is on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000kn:,,RE Sprint 1,,,,,,,,Done
"Verify that after clicking on 'Add New' link , required page is displayed  ",RE-63,10094,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,06/Sep/21 5:26 PM,08/Sep/21 10:00 AM,09/Sep/21 5:34 AM,08/Sep/21 10:00 AM,,0,‘Add New’ link is available under ‘Users’ module ,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000kf:,,RE Sprint 1,,,,,,,,Done
"Verify that 'Add New' button on 'Users' page, is navigating to required page or not ",RE-62,10093,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,06/Sep/21 5:17 PM,08/Sep/21 10:00 AM,09/Sep/21 5:34 AM,08/Sep/21 10:00 AM,,0,,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000k7:,,RE Sprint 1,,,,,,,,Done
Verify the availability of 'Add New' button on 'Users' page,RE-61,10092,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,06/Sep/21 5:01 PM,08/Sep/21 10:00 AM,09/Sep/21 5:34 AM,08/Sep/21 10:00 AM,,0,,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000jz:,,RE Sprint 1,,,,,,,,Done
"As an admin, I want to add new user into the 'Real Estate' application so that I can create profile of new user on the application",RE-60,10091,Story,Blocked,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,06/Sep/21 4:59 PM,08/Sep/21 11:02 AM,08/Sep/21 11:09 AM,,,0,,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,RE-61,RE-62,RE-63,RE-64,RE-65,RE-66,RE-67,RE-68,RE-69,RE-70,RE-71,RE-72,RE-73,RE-74,RE-75,RE-76,RE-77,RE-78,RE-79,RE-80,RE-81,RE-82,RE-83,RE-84,RE-85,RE-86,RE-87,RE-88,RE-89,RE-90,RE-91,RE-92,RE-93,RE-94,RE-95,RE-96,RE-97,RE-98,RE-99,RE-100,RE-101,RE-102,RE-103,RE-104,RE-105,RE-106,RE-107,RE-114,,,,,,,{},,RE-1,,,,,0|i000i3:,,RE Sprint 1,,,,,,,,In Progress
Verify that forward and backward arrows of pagination are properly working or not,RE-59,10090,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,06/Sep/21 12:51 PM,08/Sep/21 9:56 AM,09/Sep/21 5:34 AM,08/Sep/21 9:56 AM,,0,,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000jr:,,RE Sprint 1,,,,,,,,Done
